stage,epoch,samples_per_class,train_loss,train_acc,val_loss,val_acc
1,1,5,3.2817487716674805,0.38,2.1959667205810547,0.42
1,2,5,2.573824882507324,0.52,1.7330783605575562,0.52
1,3,5,1.9067573547363281,0.56,1.4313387870788574,0.56
1,4,5,1.5741900205612183,0.66,1.2147408723831177,0.62
1,5,5,1.448983907699585,0.54,1.078873634338379,0.7
1,6,5,1.251294732093811,0.56,1.0199482440948486,0.72
1,7,5,1.2410601377487183,0.5,0.9645057916641235,0.76
1,8,5,0.8574635982513428,0.7,0.9131935238838196,0.76
1,9,5,0.9816445112228394,0.64,0.8668166399002075,0.74
1,10,5,0.803692638874054,0.68,0.8140872716903687,0.76
1,11,5,0.7137996554374695,0.74,0.758013129234314,0.78
1,12,5,0.8106583952903748,0.66,0.6885663866996765,0.82
1,13,5,0.5316656231880188,0.84,0.6216847896575928,0.84
1,14,5,0.6091567277908325,0.76,0.5717390179634094,0.88
1,15,5,0.5771288871765137,0.8,0.5401240587234497,0.88
1,16,5,0.5041160583496094,0.84,0.531294584274292,0.86
1,17,5,0.4101635217666626,0.9,0.5283278822898865,0.86
1,18,5,0.39306676387786865,0.88,0.5190306305885315,0.84
1,19,5,0.3184971511363983,0.94,0.5056854486465454,0.84
2,1,10,0.5172956585884094,0.85,0.40618497133255005,0.88
2,2,10,0.5150948166847229,0.87,0.3806401193141937,0.9
2,3,10,0.3339965343475342,0.95,0.3670039474964142,0.9
2,4,10,0.38117220997810364,0.9,0.36238276958465576,0.9
2,5,10,0.3520527780056,0.89,0.3389456868171692,0.9
2,6,10,0.3926331400871277,0.9,0.3111479878425598,0.92
2,7,10,0.2703559398651123,0.9,0.285741925239563,0.92
2,8,10,0.2533368468284607,0.93,0.2627980709075928,0.92
2,9,10,0.23854362964630127,0.94,0.24254320561885834,0.92
2,10,10,0.19705268740653992,0.93,0.2303820252418518,0.92
2,11,10,0.1723654568195343,0.95,0.22494865953922272,0.94
2,12,10,0.12888523936271667,0.97,0.22301210463047028,0.94
2,13,10,0.1514316201210022,0.96,0.2234964519739151,0.94
2,14,10,0.13916386663913727,0.96,0.2269648313522339,0.9
2,15,10,0.11038726568222046,0.99,0.2268952876329422,0.9
2,16,10,0.11536264419555664,0.98,0.21311861276626587,0.9
3,1,20,0.1789018326997757,0.97,0.16642911732196808,0.96
3,2,20,0.12047633290290832,0.96,0.1750042587518692,0.92
3,3,20,0.10937021672725677,0.97,0.1727977693080902,0.94
3,4,20,0.09454683989286422,0.975,0.1795014888048172,0.94
3,5,20,0.10746657758951188,0.97,0.17331083118915558,0.94
3,6,20,0.07006662011146546,0.99,0.1164465844631195,0.96
4,1,30,0.13998818417390188,0.95,0.11130185425281525,0.96
4,2,30,0.13262439926465353,0.96,0.1160682886838913,0.98
4,3,30,0.10381667057673137,0.9733333333333334,0.160201296210289,0.94
4,4,30,0.10775383248925209,0.96,0.12030098587274551,0.96
4,5,30,0.08632766912380854,0.9833333333333333,0.08699171990156174,0.96
4,6,30,0.07713243663311005,0.9766666666666667,0.07758959382772446,1.0
4,7,30,0.07797924717267354,0.99,0.08526761829853058,0.98
4,8,30,0.06409822911024093,0.9866666666666667,0.0844554454088211,0.98
4,9,30,0.048105579266945524,0.9933333333333333,0.05916169658303261,0.98
4,10,30,0.04234156772494316,0.9966666666666667,0.05453718826174736,1.0
4,11,30,0.04587184560795625,0.99,0.056866273283958435,0.98
